SKU,Name,UPCBarcode,Price,ImageURL
TA25225-2-PNK-ML,Yellowstone Shirt,9360263324123,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25225-2_Yellowstone Shirt_Pink Stripe_1.jpg
TA25240-1-DRWE-XS,Sassy Skirt,9360263310324,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25240-1_Sassy Skirt_Dream Weaver W Meadow Muse_1.jpg
TA25240-1-DRWE-S,Sassy Skirt,9360263310331,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25240-1_Sassy Skirt_Dream Weaver W Meadow Muse_1.jpg
TA25240-1-DRWE-M,Sassy Skirt,9360263310348,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25240-1_Sassy Skirt_Dream Weaver W Meadow Muse_1.jpg
TA25240-1-DRWE-L,Sassy Skirt,9360263310355,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25240-1_Sassy Skirt_Dream Weaver W Meadow Muse_1.jpg
TA25240-1-DRWE-XL,Sassy Skirt,9360263310362,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25240-1_Sassy Skirt_Dream Weaver W Meadow Muse_1.jpg
TA25298-1-OFFWH-XS,Goddess Maxi Dress,9360263314186,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25298-1_Goddess Maxi Dress_Off White_1.jpg
TA25298-1-OFFWH-S,Goddess Maxi Dress,9360263314193,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25298-1_Goddess Maxi Dress_Off White_1.jpg
TA25298-1-OFFWH-M,Goddess Maxi Dress,9360263314209,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25298-1_Goddess Maxi Dress_Off White_1.jpg
TA25298-1-OFFWH-L,Goddess Maxi Dress,9360263314216,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25298-1_Goddess Maxi Dress_Off White_1.jpg
TA25298-1-OFFWH-XL,Goddess Maxi Dress,9360263314223,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25298-1_Goddess Maxi Dress_Off White_1.jpg
BT25450-1-MIL-XS,Leroy Dress,9360263338779,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25450-1_Leroy Dress_Milk_1.jpg
BT25450-1-MIL-S,Leroy Dress,9360263338786,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25450-1_Leroy Dress_Milk_1.jpg
BT25450-1-MIL-M,Leroy Dress,9360263338793,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25450-1_Leroy Dress_Milk_1.jpg
BT25450-1-MIL-L,Leroy Dress,9360263338809,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25450-1_Leroy Dress_Milk_1.jpg
BT25450-1-MIL-XL,Leroy Dress,9360263338816,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25450-1_Leroy Dress_Milk_1.jpg
BT25420-1-BLK-XS,Jolie Dress,9360263336249,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Black W Natural_1.jpg
BT25420-1-BLK-S,Jolie Dress,9360263336256,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Black W Natural_1.jpg
BT25420-1-BLK-M,Jolie Dress,9360263336263,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Black W Natural_1.jpg
BT25420-1-BLK-L,Jolie Dress,9360263336270,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Black W Natural_1.jpg
BT25420-1-BLK-XL,Jolie Dress,9360263336287,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Black W Natural_1.jpg
BT25420-1-NAT-XS,Jolie Dress,9360263336294,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Natural W Chocolate_1.jpg
BT25420-1-NAT-S,Jolie Dress,9360263336300,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Natural W Chocolate_1.jpg
BT25420-1-NAT-M,Jolie Dress,9360263336317,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Natural W Chocolate_1.jpg
BT25420-1-NAT-L,Jolie Dress,9360263336324,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT25420-1_Jolie Dress_Natural W Chocolate_1.jpg
